# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_non_coding_exon_variant	variants_effect_sequence_feature	bases_affected_DOWNSTREAM	total_score_DOWNSTREAM	length_DOWNSTREAM	bases_affected_EXON	total_score_EXON	length_EXON	bases_affected_INTRON	total_score_INTRON	length_INTRON	bases_affected_NONE	total_score_NONE	length_NONE	bases_affected_UTR_3_PRIME	total_score_UTR_3_PRIME	length_UTR_3_PRIME
CSF1R	ENSG00000182578	ENST00000286301	protein_coding	4	2	0	0	2	0	0	0	0	2	0	934	0	0	0	0	0	0	2	0	778
CSF1R	ENSG00000182578	ENST00000504875	nonsense_mediated_decay	4	2	0	0	2	0	0	0	0	2	0	934	0	0	0	0	0	0	2	0	934
CSF1R	ENSG00000182578	ENST00000509861	retained_intron	2	0	0	0	2	0	0	0	0	2	0	387	0	0	0	0	0	0	0	0	0
CSF1R	ENSG00000182578	ENST00000515068	nonsense_mediated_decay	2	0	2	0	0	0	2	0	5000	0	0	0	0	0	0	0	0	0	0	0	0
ERBB4	ENSG00000178568	ENST00000260943	protein_coding	1	0	0	1	0	0	0	0	0	0	0	0	1	0	159270	0	0	0	0	0	0
ERBB4	ENSG00000178568	ENST00000342788	protein_coding	18	0	0	1	0	17	0	0	0	0	0	0	1	0	159270	17	0	907867	0	0	0
ERBB4	ENSG00000178568	ENST00000402597	protein_coding	1	0	0	1	0	0	0	0	0	0	0	0	1	0	159270	0	0	0	0	0	0
ERBB4	ENSG00000178568	ENST00000435846	protein_coding	1	0	0	1	0	0	0	0	0	0	0	0	1	0	159270	0	0	0	0	0	0
ERBB4	ENSG00000178568	ENST00000436443	protein_coding	18	0	0	1	0	17	0	0	0	0	0	0	1	0	159270	17	0	907867	0	0	0
ERBB4	ENSG00000178568	ENST00000484474	processed_transcript	1	0	0	1	0	0	0	0	0	0	0	0	1	0	159270	0	0	0	0	0	0
ERBB4	ENSG00000178568	ENST00000484594	retained_intron	1	0	0	1	0	0	0	0	0	0	0	0	1	0	159270	0	0	0	0	0	0
FGFR3	ENSG00000068078	ENST00000260795	protein_coding	19	0	0	0	1	18	0	0	0	1	0	123	0	0	0	18	0	1769	0	0	0
FGFR3	ENSG00000068078	ENST00000340107	protein_coding	19	0	0	0	1	18	0	0	0	1	0	123	0	0	0	18	0	1769	0	0	0
FGFR3	ENSG00000068078	ENST00000352904	protein_coding	9	0	0	0	1	8	0	0	0	1	0	123	0	0	0	8	0	1769	0	0	0
FGFR3	ENSG00000068078	ENST00000412135	protein_coding	1	0	0	0	1	0	0	0	0	1	0	123	0	0	0	0	0	0	0	0	0
FGFR3	ENSG00000068078	ENST00000440486	protein_coding	1	0	0	0	1	0	0	0	0	1	0	123	0	0	0	0	0	0	0	0	0
FGFR3	ENSG00000068078	ENST00000469068	retained_intron	1	0	1	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0	0	0	0
FGFR3	ENSG00000068078	ENST00000474521	processed_transcript	1	0	1	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0	0	0	0
FGFR3	ENSG00000068078	ENST00000481110	protein_coding	1	0	0	0	1	0	0	0	0	1	0	123	0	0	0	0	0	0	0	0	0
FGFR3	ENSG00000068078	ENST00000507588	protein_coding	1	0	1	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0	0	0	0
FLT3	ENSG00000122025	ENST00000241453	protein_coding	25	0	0	1	0	24	0	0	0	0	0	0	1	0	936	24	0	948	0	0	0
FLT3	ENSG00000122025	ENST00000380982	protein_coding	1	0	0	1	0	0	0	0	0	0	0	0	1	0	936	0	0	0	0	0	0
FLT3	ENSG00000122025	ENST00000380987	nonsense_mediated_decay	1	0	0	1	0	0	0	0	0	0	0	0	1	0	936	0	0	0	0	0	0
FLT3	ENSG00000122025	ENST00000537084	protein_coding	3	0	0	1	0	2	0	0	0	0	0	0	1	0	936	2	0	948	0	0	0
HMGXB3	ENSG00000113716	ENST00000502717	protein_coding	2	0	2	0	0	0	2	0	5000	0	0	0	0	0	0	0	0	0	0	0	0
HMGXB3	ENSG00000113716	ENST00000503427	protein_coding	2	0	2	0	0	0	2	0	5000	0	0	0	0	0	0	0	0	0	0	0	0
HMGXB3	ENSG00000113716	ENST00000510472	retained_intron	2	0	2	0	0	0	2	0	5000	0	0	0	0	0	0	0	0	0	0	0	0
KDR	ENSG00000128052	ENST00000263923	protein_coding	21	0	0	1	0	20	0	0	0	0	0	0	1	0	644	20	0	830	0	0	0
KDR	ENSG00000128052	ENST00000512566	retained_intron	1	0	0	1	0	0	0	0	0	0	0	0	1	0	644	0	0	0	0	0	0
PIK3CA	ENSG00000121879	ENST00000263967	protein_coding	3	0	0	1	0	2	0	0	0	0	0	0	1	0	512	2	0	554	0	0	0
PIK3CA	ENSG00000121879	ENST00000468036	protein_coding	1	0	1	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0	0	0	0
PIK3CA	ENSG00000121879	ENST00000477735	protein_coding	1	0	1	0	0	0	1	0	5000	0	0	0	0	0	0	0	0	0	0	0	0
